Institution,Rank,Class,Country,Size,Academic,Employer,Faculty student,IRN,Citations per paper,Papers per faculty,Staff with PhD,International faculty,International students,Inbound,Outbound
"Nanyang Technological University, Singapore (NTU Singapore)",=3,A,Singapore,L,100,99.9,96.4,99.7,99.9,68.2,89.5,100,99.7,99.8,100
National University of Singapore (NUS),=3,A,Singapore,XL,100,100,90.6,99.9,99.9,72.6,95.9,100,99.9,100,100
Universiti Malaya (UM),15,A,Malaysia,L,100,100,90.4,99.9,68.1,56.2,97,92.3,98.7,100,99.9
Universiti Putra Malaysia (UPM),22,A,Malaysia,L,99.3,98,87.7,99.7,52,54,100,76.4,100,100,100
Universiti Kebangsaan Malaysia (UKM),24,A,Malaysia,L,99.4,98.5,90.6,99.6,47.2,57.1,99.8,80.5,99.7,82.5,88
Universiti Teknologi Malaysia,25,A,Malaysia,L,97.4,97.8,83.5,99.9,60.3,69.9,95.7,37,99.7,99.4,98.4
Taylor's University,27,A,Malaysia,M,88.3,99.6,96.9,91.7,98.4,18.3,50.1,93.9,100,97.4,99.9
UCSI University,30,A,Malaysia,M,88.6,97.6,99.2,89.9,70.6,19.1,66.9,99.4,100,100,100
Universiti Sains Malaysia (USM),34,A,Malaysia,L,99.5,99,71.5,99.9,45.3,64.6,80.2,65.7,100,46.4,62.2
Universiti Teknologi PETRONAS (UTP),44,A,Malaysia,S,75.5,83.6,69.4,97.9,72.7,98.9,81,98.3,68.9,99.5,99.8
Universitas Indonesia,47,A,Indonesia,XL,99.1,99.8,92.3,94.4,2.8,17,44.6,98.2,35.5,100,100
Chulalongkorn University,52,A,Thailand,XL,99.8,91.2,75,99.2,38.4,22.7,95.4,62.4,21.7,36.8,50
Universitas Airlangga,54,A,Indonesia,XL,95,99.7,91.1,91.4,2.6,14.6,50.6,95.6,35.3,98.5,95
Gadjah Mada University,=55,A,Indonesia,XL,99,99.5,86.9,87.5,2.5,14.8,50.7,89.1,27.7,98.8,91.3
Mahidol University,=55,A,Thailand,L,96.6,81.7,95.8,97,25.3,19.2,93.7,22.1,30.7,92.6,70.3
Sunway University,=55,A,Malaysia,M,67.1,91.5,82.9,95,88.3,42.7,54.2,85.5,92.8,90.3,63.2
Institut Teknologi Bandung (ITB),62,A,Indonesia,L,96.5,99.5,68.9,82.6,3.4,31.5,92.4,99.6,27.5,94.7,36.6
Universiti Utara Malaysia (UUM),=65,A,Malaysia,M,77.4,82.1,72.7,84.7,55.9,19.5,94,53.9,99.3,100,92.6
Universiti Brunei Darussalam (UBD),67,A,Brunei Darussalam,S,75.9,58.5,99.3,91.5,42.8,50.2,100,100,87.2,100,100
IPB University (aka Bogor Agricultural University),82,A,Indonesia,L,82.9,92.8,98.6,67,2.2,13.2,80.2,94.2,20.9,77.2,43.9
Universitas Padjadjaran (UNPAD),96,A,Indonesia,XL,78.9,90.7,91.4,74.5,2.8,9.2,46.3,83.6,15.4,71.3,61.4
Institut Teknologi Sepuluh Nopember (ITS Surabaya),97,A,Indonesia,L,75.8,94.4,93.1,69.1,2.4,13,7.5,92.5,38,99.8,92.8
University of the Philippines,104,A,Philippines,XL,93.5,97.6,68.9,96.6,9.7,7.9,5.8,5.4,2.2,6.8,5.4
Chiang Mai University,105,A,Thailand,XL,92.2,73,41,96.4,20.4,21.1,85.6,14.4,29.4,52.3,11
Diponegoro University,=106,A,Indonesia,XL,79,91.5,76.9,78.5,1.8,11.1,18.6,77.4,24.6,80.8,84.3
Universiti Tunku Abdul Rahman (UTAR),=109,A,Malaysia,M,59.1,85.8,42.1,90.8,67.3,25.2,69.5,37.6,27.4,92.2,83.8
Universiti Teknologi MARA - UiTM,116,A,Malaysia,XL,89.9,89.8,50.7,98.3,5.8,19.7,54.1,5.7,11.6,16.6,4.8
INTI International University,=122,A,Malaysia,S,58.7,80.9,97,55.3,10.3,8.2,74.4,100,100,100,100
Singapore Management University,=122,A,Singapore,M,59.1,69.2,28,62.1,84.7,33,69.8,100,98.4,100,100
Management and Science University,125,A,Malaysia,S,74.1,71,88.6,36.2,12.3,10.7,64.8,100,100,100,100
Thammasat University,126,A,Thailand,XL,83.8,81.2,42,87.2,8.2,11.6,84.4,37.8,6.6,50.8,48.9
Universiti Teknologi Brunei,135,A,Brunei Darussalam,S,60.7,43.1,95.5,58.3,74.3,38.8,85.6,100,26.6,21.6,100
Universiti Tenaga Nasional (UNITEN),136,A,Malaysia,S,36.1,57.3,98.9,92.8,68.7,46.1,48.9,65.7,96.2,99.5,96.1
Krirk University,137,A,Thailand,M,67.6,97.7,79.7,12.5,2.1,3.3,84.1,100,100,35.2,94.5
Ateneo de Manila University,141,A,Philippines,L,80.3,97.1,56.3,64.2,8.1,7.7,30.2,9,14.9,43.5,31.8
International Islamic University Malaysia (IIUM),=142,A,Malaysia,L,82.7,69,34.5,94,9.9,17.8,52.5,58.7,95.7,15.1,11.7
Universitas Brawijaya,145,A,Indonesia,XL,79,92.5,47.4,68.7,1.8,7.3,18.2,67,8.5,63.1,44.6
Kasetsart University,146,A,Thailand,XL,84.3,80.1,22.6,87.5,17.8,10.4,54.7,20,4.3,13.8,57.5
Asia Pacific University of Technology and Innovation (APU) Malaysia,147,A,Malaysia,S,64.5,63.8,93.2,44.6,21.6,9.5,14.9,99.7,100,100,100
Multimedia University (MMU),148,A,Malaysia,M,63.7,68.6,37.4,68.1,20.2,21.3,64.5,83.1,87.7,100,96.1
Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),153,A,Malaysia,M,54.9,34.9,43.9,95.1,52.1,75.7,100,62.6,53,40.6,98.9
Universiti Pendidikan Sultan Idris (UPSI),=156,A,Malaysia,M,54.4,54.8,70.5,62.2,12.6,17.6,100,76.5,89.8,100,100
"Vietnam National University, Hanoi",158,A,Viet Nam,XL,69.5,76,16.7,97.1,32.3,7.9,56.9,17.3,2.7,47,31.4
Universiti Malaysia Terengganu (UMT),160,A,Malaysia,M,53.7,29.9,38.6,94.1,50.7,64.7,95,50.9,62.5,99,96.9
Bina Nusantara University (BINUS),=165,A,Indonesia,L,62.9,76.3,50.4,45.2,1.6,46.9,32.7,81.6,29.5,99.9,100
Duy Tan University,=165,A,Viet Nam,L,46.8,66.7,14.2,99.7,100,45.8,20.8,74.7,6.2,30.7,27.2
Universitas Sebelas Maret (UNS),168,A,Indonesia,XL,67.1,60,62.9,57.8,1.8,12.5,60,64.1,30.6,90.5,99.8
Singapore University of Technology and Design,=169,A,Singapore,S,40,38.6,100,78.2,100,49.1,,,,99.9,100
Khon Kaen University,171,A,Thailand,XL,71.6,62,23.5,93.4,15.2,22.5,82.6,16.8,11,36.9,33.5
Viet Nam National University Ho Chi Minh City (VNU-HCM),175,A,Viet Nam,XL,76.2,86.3,13,87.8,16.9,11.1,20.8,19.2,2.2,8.6,2.5
